comment_id,video_id,video_title,video_channel,author,author_channel_id,comment_text,comment_length,word_count,is_reply,parent_id,like_count,reply_count,published_date,published_time,day_of_week,hour_of_day,has_emoji,has_url,is_all_caps,exclamation_count,question_count,engagement_rate,sentiment,sentiment_score,emotion,toxicity_score,spam_score
Ugw4VZPANaMD_6QXbTV4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@hh133hh,UCC5pAYOulZyrqGxA0_DYcwg,Those security guards are NOT PLAYING AROUND!!!! lol good job guys!!!!,70,11,False,,0,0,2026-02-10,14:42:23,Tuesday,14,False,False,False,8,0,0.0,,,,,
Ugy2VZoD8wkVz-zmIBB4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@KJ-177,UCvYO1XE6QKtluFG-w2KmVXw,Excellent performance!  After all these years they still rock.,62,9,False,,0,0,2026-02-09,20:51:43,Monday,20,False,False,False,1,0,0.0,,,,,
UgzPoOMkLDEkZtuisX14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Kozouakomachan9079,UCsxPkOn6knkX5Ft09zTXQkw,This song and band is really great!! 🎶⚡️☝️👍️💖✨🌠⭐️,49,8,False,,1,0,2026-02-10,12:12:28,Tuesday,12,True,False,False,2,0,3.6091962319991336e-05,,,,,
UgzXCCv4wWvoRjWLGCR4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@danielmkubacki,UCxQS6YUrYh_Byznq-y7hVfg,Wow they still got it and they looks so good. ROCK!,51,11,False,,1,0,2026-02-09,23:33:03,Monday,23,False,False,False,1,0,3.6091962319991336e-05,,,,,
UgxTmsLy1S37LpW9WB14AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@RyanEglitis,UCirmaCs3T9z491MG_BwZ_CA,Couldn't even cut it properly with the beginning included??,59,9,False,,0,0,2026-02-10,05:26:26,Tuesday,5,False,False,False,0,2,0.0,,,,,
UgzExLl-fYhxSxlJ3194AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@rubys-crochet101,UCKSBQV77kfb41rAtjV9jiJA,tres outfit matches his drums 😭,31,6,False,,1,0,2026-02-10,02:15:35,Tuesday,2,True,False,False,0,0,3.6091962319991336e-05,,,,,
Ugz4F6vpiWr-lvUg2hN4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@elchipotlevengador6650,UCPGuXfKQVaUmgeMGmj-Gy6Q,The necklace says all !!!!!!!!!!!!!!!!!!!!!!❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️thank you Green Day !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! You guys still rocking!!!!!!!!!!!!!!,163,13,False,,0,0,2026-02-10,17:02:02,Tuesday,17,True,False,False,74,0,0.0,,,,,
UgyA1gJh8-3kDo5oRyt4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@Chase1-y5u,UCMDGmQ2f5kdxtwK13JtsGfg,Green Day still got it 🔥,24,6,False,,2,0,2026-02-09,22:28:43,Monday,22,True,False,False,0,0,7.218392463998267e-05,,,,,
Ugzc3RfQ7ETs0aGw2Oh4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@choctawgamer,UCycN_I5zIo5_J9RqPsZVxnQ,"Went to the Green Day/Blink 182 concert back in the day early 00s. Nothing can compare to that one, no cell phones, just good music and a fun.",142,28,False,,1,0,2026-02-10,19:24:30,Tuesday,19,False,False,False,0,0,3.6091962319991336e-05,,,,,
Ugw6h5Q_6hLt3l3DgSN4AaABAg,_0UqnYmQyLQ,Super Bowl LX Opening Performance by Green Day,NFL,@LawanMasters,UCj_Wbbr50jNogF-1sCMGS5w,so beautiful love he's performing so talented ❤,47,8,False,,0,0,2026-02-10,02:55:38,Tuesday,2,True,False,False,0,0,0.0,,,,,
